year,party,candidate,dropout_date,clinch_date
2000,GOP,mccain,3/9/2000,
2000,GOP,forbes,2/10/2000,
2000,GOP,bauer,2/4/2000,
2000,GOP,hatch,1/26/2000,
2000,GOP,keyes,7/25/2000,
2000,GOP,bush,,3/15/2000,
2000,Dem,bradley,3/9/2000,
2000,Dem,larouche,,
2000,Dem,gore,,3/15/2000,
2004,Dem,braun,1/15/2004,
2004,Dem,clark,2/11/2004,
2004,Dem,dean,2/18/2004,
2004,Dem,edwards,3/2/2004,
2004,Dem,gephardt,1/21/2004,
2004,Dem,kerry,,2004-03-11
2004,Dem,kucinich,7/22/2004,
2004,Dem,lieberman,2/3/2004,
2004,Dem,sharpton,3/15/2004,
2004,GOP,bush,,
2008,Dem,biden,1/3/2008,
2008,Dem,clinton,6/7/2008,
2008,Dem,dodd,1/3/2008,
2008,Dem,edwards,1/30/2008,
2008,Dem,gravel,3/25/2008,
2008,Dem,kucinich,1/24/2008,
2008,Dem,obama,,2008-06-03
2008,Dem,richardson,1/9/2008,
2008,GOP,giuliani,1/30/2008,
2008,GOP,huckabee,3/4/2008,
2008,GOP,hunter,1/19/2008,
2008,GOP,keyes,4/15/2008,
2008,GOP,mccain,,2008-03-04
2008,GOP,paul,,
2008,GOP,romney,2/7/2008,
2008,GOP,thompson,1/22/2008,
2012,Dem,obama,,
2012,GOP,bachmann,1/4/2012,
2012,GOP,cain,12/3/2011,
2012,GOP,gingrich,5/2/2012,
2012,GOP,huntsman,1/16/2012,
2012,GOP,johnson,12/28/2011,
2012,GOP,karger,,
2012,GOP,paul,,
2012,GOP,perry,1/19/2012,
2012,GOP,roemer,2/22/2012,
2012,GOP,romney,,2012-05-29
2012,GOP,santorum,4/10/2012,
2016,Dem,clinton,,2016-06-06
2016,Dem,o-malley,2/1/2016,
2016,Dem,sanders,,
2016,GOP,bush,2/20/2016,
2016,GOP,carson,3/2/2016,
2016,GOP,christie,2/10/2016,
2016,GOP,cruz,5/3/2016,
2016,GOP,fiorina,2/10/2016,
2016,GOP,gilmore,2/12/2016,
2016,GOP,huckabee,2/1/2016,
2016,GOP,kasich,5/4/2016,
2016,GOP,paul,2/3/2016,
2016,GOP,rubio,3/15/2016,
2016,GOP,santorum,2/3/2016,
2016,GOP,trump,,2016-05-03
