year,party,state_code,date,candidate,n_votes,race_n_votes
2000,GOP,AK,01/24/2000,bush,1571,4330
2000,GOP,AK,01/24/2000,forbes,1566,4330
2000,GOP,AK,01/24/2000,mccain,412,4330
2000,GOP,AK,01/24/2000,keyes,411,4330
2000,GOP,AK,01/24/2000,bauer,207,4330
2000,GOP,AK,01/24/2000,hatch,163,4330
2000,GOP,AL,06/06/2000,bush,171077,203077
2000,GOP,AL,06/06/2000,keyes,23394,203077
2000,GOP,AL,06/06/2000,uncommitted-,8606,203077
2000,Dem,AL,06/06/2000,gore,214541,278527
2000,Dem,AL,06/06/2000,uncommitted-,48521,278527
2000,Dem,AL,06/06/2000,larouche,15465,278527
2000,GOP,AR,05/23/2000,bush,35759,44573
2000,GOP,AR,05/23/2000,keyes,8814,44573
2000,Dem,AR,05/23/2000,gore,193750,246900
2000,Dem,AR,05/23/2000,uncommitted-,0,246900
2000,Dem,AR,05/23/2000,larouche,53150,246900
2000,GOP,AZ,02/22/2000,mccain,193708,322669
2000,GOP,AZ,02/22/2000,bush,115115,322669
2000,GOP,AZ,02/22/2000,keyes,11500,322669
2000,GOP,AZ,02/22/2000,forbes,1211,322669
2000,GOP,AZ,02/22/2000,hatch,637,322669
2000,GOP,AZ,02/22/2000,mcgrath,239,322669
2000,GOP,AZ,02/22/2000,bauer,177,322669
2000,GOP,AZ,02/22/2000,zanon,54,322669
2000,GOP,AZ,02/22/2000,see,28,322669
2000,Dem,AZ,03/11/2000,gore,67582,86907
2000,Dem,AZ,03/11/2000,bradley,16383,86907
2000,Dem,AZ,03/11/2000,uncommitted-,1439,86907
2000,Dem,AZ,03/11/2000,harder,1358,86907
2000,Dem,AZ,03/11/2000,invalid-,145,86907
2000,GOP,CA,03/07/2000,bush,1725162,2847921
2000,GOP,CA,03/07/2000,mccain,988706,2847921
2000,GOP,CA,03/07/2000,keyes,112747,2847921
2000,GOP,CA,03/07/2000,forbes,8449,2847921
2000,GOP,CA,03/07/2000,bauer,6860,2847921
2000,GOP,CA,03/07/2000,hatch,5997,2847921
2000,Dem,CA,03/07/2000,gore,2155321,2654114
2000,Dem,CA,03/07/2000,bradley,482882,2654114
2000,Dem,CA,03/07/2000,uncommitted-,0,2654114
2000,Dem,CA,03/07/2000,larouche,15911,2654114
2000,Dem,CA,03/07/2000,abstentions-,0,2654114
2000,GOP,CO,03/10/2000,bush,116897,180655
2000,GOP,CO,03/10/2000,mccain,48996,180655
2000,GOP,CO,03/10/2000,keyes,11871,180655
2000,GOP,CO,03/10/2000,forbes,1197,180655
2000,GOP,CO,03/10/2000,bauer,1190,180655
2000,GOP,CO,03/10/2000,hatch,504,180655
2000,Dem,CO,03/10/2000,gore,63384,88735
2000,Dem,CO,03/10/2000,bradley,20663,88735
2000,Dem,CO,03/10/2000,uncommitted-,3867,88735
2000,Dem,CO,03/10/2000,larouche,821,88735
2000,GOP,CT,03/07/2000,mccain,87176,178985
2000,GOP,CT,03/07/2000,bush,82881,178985
2000,GOP,CT,03/07/2000,keyes,5913,178985
2000,GOP,CT,03/07/2000,forbes,1242,178985
2000,GOP,CT,03/07/2000,uncommitted-,1222,178985
2000,GOP,CT,03/07/2000,bauer,373,178985
2000,GOP,CT,03/07/2000,hatch,178,178985
2000,Dem,CT,03/07/2000,gore,98312,177301
2000,Dem,CT,03/07/2000,bradley,73589,177301
2000,Dem,CT,03/07/2000,uncommitted-,5400,177301
2000,GOP,DC,05/02/2000,bush,1771,2433
2000,GOP,DC,05/02/2000,mccain,593,2433
2000,GOP,DC,05/02/2000,write-in-,69,2433
2000,Dem,DC,05/02/2000,gore,18621,19417
2000,Dem,DC,05/02/2000,uncommitted-,0,19417
2000,Dem,DC,05/02/2000,larouche,796,19417
2000,GOP,DE,02/08/2000,bush,15250,30060
2000,GOP,DE,02/08/2000,mccain,7638,30060
2000,GOP,DE,02/08/2000,forbes,5883,30060
2000,GOP,DE,02/08/2000,keyes,1148,30060
2000,GOP,DE,02/08/2000,bauer,120,30060
2000,GOP,DE,02/08/2000,hatch,21,30060
2000,Dem,DE,03/27/2000,gore,6377,11141
2000,Dem,DE,03/27/2000,uncommitted-,0,11141
2000,Dem,DE,03/27/2000,bradley,4476,11141
2000,Dem,DE,03/27/2000,larouche,288,11141
2000,GOP,FL,03/14/2000,bush,516161,699317
2000,GOP,FL,03/14/2000,mccain,139397,699317
2000,GOP,FL,03/14/2000,keyes,32343,699317
2000,GOP,FL,03/14/2000,forbes,6552,699317
2000,GOP,FL,03/14/2000,bauer,3493,699317
2000,GOP,FL,03/14/2000,hatch,1371,699317
2000,Dem,FL,03/14/2000,gore,451657,551916
2000,Dem,FL,03/14/2000,bradley,100259,551916
2000,Dem,FL,03/14/2000,uncommitted-,0,551916
2000,GOP,GA,03/07/2000,bush,430480,643188
2000,GOP,GA,03/07/2000,mccain,179046,643188
2000,GOP,GA,03/07/2000,keyes,29640,643188
2000,GOP,GA,03/07/2000,bauer,1962,643188
2000,GOP,GA,03/07/2000,forbes,1647,643188
2000,GOP,GA,03/07/2000,hatch,413,643188
2000,Dem,GA,03/07/2000,gore,238396,284431
2000,Dem,GA,03/07/2000,bradley,46035,284431
2000,Dem,GA,03/07/2000,uncommitted-,0,284431
2000,Dem,HI,03/07/2000,gore,1080,1315
2000,Dem,HI,03/07/2000,bradley,235,1315
2000,Dem,HI,03/07/2000,uncommitted-,0,1315
2000,GOP,IA,01/24/2000,bush,35384,86359
2000,GOP,IA,01/24/2000,forbes,26338,86359
2000,GOP,IA,01/24/2000,keyes,12329,86359
2000,GOP,IA,01/24/2000,bauer,7367,86359
2000,GOP,IA,01/24/2000,mccain,4053,86359
2000,GOP,IA,01/24/2000,hatch,888,86359
2000,GOP,IA,01/24/2000,uncommitted-,0,86359
2000,Dem,IA,01/24/2000,gore,1269,2001
2000,Dem,IA,01/24/2000,bradley,698,2001
2000,Dem,IA,01/24/2000,uncommitted-,0,2001
2000,Dem,IA,01/24/2000,uncommitted-,33,2001
2000,Dem,IA,01/24/2000,others-,1,2001
2000,GOP,ID,05/23/2000,bush,116385,158446
